state,year,Enrolled students,Enrolled students in government schools
NSW,2018,1218692,798022
VIC,2018,971604,619534
QLD,2018,819469,551598
WA,2018,417859,280625
SA,2018,268418,174144
TAS,2018,81046,56790
ACT,2018,70924,43191
NT,2018,40542,29621
NSW,2017,1208470,791040
VIC,2017,953063,605071
QLD,2017,808406,542878
WA,2017,413038,276286
SA,2017,265629,172534
TAS,2017,80809,56506
ACT,2017,69313,41815
NT,2017,41522,30347
NSW,2016,1194188,780600
VIC,2016,932608,590105
QLD,2016,797458,534081
WA,2016,408083,271022
SA,2016,264791,170773
TAS,2016,80616,56399
ACT,2016,67603,40255
NT,2016,41069,29430
NSW,2015,1181605,771987
VIC,2015,915117,576832
QLD,2015,786995,524963
WA,2015,404659,267414
SA,2015,263262,168439
TAS,2015,80606,56495
ACT,2015,66045,38706
NT,2015,40553,28882
NSW,2014,1168321,763698
VIC,2014,898548,564863
QLD,2014,776034,518080
WA,2014,392433,259182
SA,2014,261023,166191
TAS,2014,80701,56534
ACT,2014,64541,37297
NT,2014,40749,29494
NSW,2013,1152551,755346
VIC,2013,881150,554782
QLD,2013,761411,509671
WA,2013,385095,253953
SA,2013,261148,167614
TAS,2013,79632,56492
ACT,2013,63209,36383
NT,2013,40409,29441
NSW,2012,1138990,748234
VIC,2012,868320,546311
QLD,2012,750467,500626
WA,2012,374975,245505
SA,2012,260501,166479
TAS,2012,81381,57703
ACT,2012,62156,35612
NT,2012,39963,29446
NSW,2011,1129749,745540
VIC,2011,857672,541212
QLD,2011,736114,491780
WA,2011,364612,237118
SA,2011,258922,165899
TAS,2011,82157,58451
ACT,2011,60874,34616
NT,2011,39418,29165
NSW,2010,1120430,742141
VIC,2010,850852,539227
QLD,2010,727295,488063
WA,2010,359133,234409
SA,2010,257987,165855
TAS,2010,82052,58509
ACT,2010,60367,34492
NT,2010,39352,29102
NSW,2009,1112169,736647
VIC,2009,845935,538685
QLD,2009,720372,486803
WA,2009,356520,233941
SA,2009,256788,165563
TAS,2009,82093,58660
ACT,2009,59876,34331
NT,2009,38633,28613
Australia,2018,1218692,2553524
Australia,2017,1208470,2516478
Australia,2016,1194188,2472665
Australia,2015,1181605,2433710
Australia,2014,1168321,2395439
Australia,2013,1154159,2363681
Australia,2012,1138990,2329915
Australia,2011,1129749,2304782
Australia,2010,1120430,2291798
Australia,2009,1112169,2283242