state,year,Type of schools,Enrolled students,Type
NSW,2018,Government schools,798022,1
VIC,2018,Government schools,619534,1
QLD,2018,Government schools,551598,1
WA,2018,Government schools,280625,1
SA,2018,Government schools,174144,1
TAS,2018,Government schools,56790,1
ACT,2018,Government schools,43192,1
NT,2018,Government schools,29621,1
NSW,2018,Non-Government schools,420670,2
VIC,2018,Non-Government schools,352070,2
QLD,2018,Non-Government schools,267871,2
WA,2018,Non-Government schools,137234,2
SA,2018,Non-Government schools,94275,2
TAS,2018,Non-Government schools,24256,2
ACT,2018,Non-Government schools,27733,2
NT,2018,Non-Government schools,10921,2